PC_PRECINCT_CUSTOM_CODE,PC_PRECINCT_NAME,PC_PRECINCT_VOTERS_NUMBER,PC_PARENT_PRECINCT_CUSTOM_CODE,PC_REGION_CUSTOM_CODE
ALLA,Allatoona,500,,
BEAVV,Beavers,500,,
ADAIR,Adairsville,500,,
1.001,Adairsville-1.001,500,ADAIR,
1.002,Adairsville-1.002,500,ADAIR,
1.003,Adairsville-1.003,500,ADAIR,
CARET,Cartersville East,500,,
3.001,Cartersville East-3.001,500,CARET,
3.002,Cartersville East-3.002,500,CARET,
3.003,Cartersville East-3.003,500,CARET,
3.004,Cartersville East-3.004,500,CARET,
3.005,Cartersville East-3.005,500,CARET,
CAWEST,Cartersville West,500,,
4.001,Cartersville West-4.001,500,CAWEST,
4.002,Cartersville West-4.002,500,CAWEST,
4.003,Cartersville West-4.003,500,CAWEST,
4.004,Cartersville West-4.004,500,CAWEST,
4.005,Cartersville West-4.005,500,CAWEST,
CENTER,Center,500,,
6.001,Center-6.001,500,CENTER,
6.002,Center-6.002,500,CENTER,
6.003,Center-6.003,500,CENTER,
EMER,Emerson,500,,
7.001,Emerson-7.001,500,EMER,
7.002,Emerson-7.002,500,EMER,
7.003,Emerson-7.003,500,EMER,
CASS,Cassville,500,,
PINE,Pine Log,500,,
FOLSO,Folsom,500,,
WHITE,White,500,,
15.001,White-15.001,500,WHITE,
15.002,White-15.002,500,WHITE,
ZENA,Zena,500,,
16.001,Zena-16.001,500,ZENA,
16.002,Zena-16.002,500,ZENA,
16.003,Zena-16.003,500,ZENA,
16.004,Zena-16.004,500,ZENA,
WOOD,Woodland,500,,
EUHA,Euharlee,500,,
8.001,Euharlee-8.001,500,EUHA,
8.002,Euharlee-8.002,500,EUHA,
8.003,Euharlee-8.003,500,EUHA,
8.004,Euharlee-8.004,500,EUHA,
KING,Kingston,500,,
10.001,Kingston-10.001,500,KING,
10.002,Kingston-10.002,500,KING,
ROAD,Mission Road,500,,
11.001,Mission Road-11.001,500,ROAD,
11.002,Mission Road-11.002,500,ROAD,
TAYLOR,Taylorsville,500,,
14.001,Taylorsville-14.001,500,TAYLOR,
14.002,Taylorsville-14.002,500,TAYLOR,
14.003,Taylorsville-14.003,500,TAYLOR,
